alpha = 0.75, gamma = 1, trial = 4, reward = 2.0
alpha = 0.75, gamma = 1, trial = 4, reward = -0.5
alpha = 0.75, gamma = 1, trial = 4, reward = -0.5
alpha = 0.75, gamma = 1, trial = 4, reward = 0.0
alpha = 0.75, gamma = 1, trial = 4, reward = -0.5
alpha = 0.75, gamma = 1, trial = 4, reward = -1.0
alpha = 0.75, gamma = 1, trial = 4, reward = -0.5
alpha = 0.75, gamma = 1, trial = 4, reward = 0.0
alpha = 0.75, gamma = 1, trial = 4, reward = -1.0
alpha = 0.75, gamma = 1, trial = 4, reward = -1.0
alpha = 0.75, gamma = 1, trial = 4, reward = 2.0
alpha = 0.75, gamma = 1, trial = 4, reward = -0.5
alpha = 0.75, gamma = 1, trial = 4, reward = 0.0
alpha = 0.75, gamma = 1, trial = 4, reward = -1.0
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 4, reward = 0.0
alpha = 0.75, gamma = 1, trial = 5, reward = 0.0
alpha = 0.75, gamma = 1, trial = 5, reward = 2.0
alpha = 0.75, gamma = 1, trial = 5, reward = 0.0
alpha = 0.75, gamma = 1, trial = 5, reward = 2.0
alpha = 0.75, gamma = 1, trial = 5, reward = 0.0
Primary agent has reached destination!
alpha = 0.75, gamma = 1, trial = 5, reward = 9.5
alpha = 0.75, gamma = 1, trial = 6, reward = -0.5
alpha = 0.75, gamma = 1, trial = 6, reward = -0.5
alpha = 0.75, gamma = 1, trial = 6, reward = -1.0
alpha = 0.75, gamma = 1, trial = 6, reward = -0.5
alpha = 0.75, gamma = 1, trial = 6, reward = 0.0
alpha = 0.75, gamma = 1, trial = 6, reward = 0.0
alpha = 0.75, gamma = 1, trial = 6, reward = -0.5
alpha = 0.75, gamma = 1, trial = 6, reward = 2.0
alpha = 0.75, gamma = 1, trial = 6, reward = -0.5
alpha = 0.75, gamma = 1, trial = 6, reward = -1.0
alpha = 0.75, gamma = 1, trial = 6, reward = -0.5
alpha = 0.75, gamma = 1, trial = 6, reward = -1.0
alpha = 0.75, gamma = 1, trial = 6, reward = 0.0
alpha = 0.75, gamma = 1, trial = 6, reward = 2.0
alpha = 0.75, gamma = 1, trial = 6, reward = 0.0
alpha = 0.75, gamma = 1, trial = 6, reward = -0.5
alpha = 0.75, gamma = 1, trial = 6, reward = 0.0
alpha = 0.75, gamma = 1, trial = 6, reward = 0.0
alpha = 0.75, gamma = 1, trial = 6, reward = -0.5
alpha = 0.75, gamma = 1, trial = 6, reward = 2.0
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 6, reward = -1.0
alpha = 0.75, gamma = 1, trial = 7, reward = -0.5
alpha = 0.75, gamma = 1, trial = 7, reward = 2.0
alpha = 0.75, gamma = 1, trial = 7, reward = -1.0
alpha = 0.75, gamma = 1, trial = 7, reward = -1.0
alpha = 0.75, gamma = 1, trial = 7, reward = 0.0
alpha = 0.75, gamma = 1, trial = 7, reward = 0.0
alpha = 0.75, gamma = 1, trial = 7, reward = -0.5
alpha = 0.75, gamma = 1, trial = 7, reward = -1.0
alpha = 0.75, gamma = 1, trial = 7, reward = -1.0
alpha = 0.75, gamma = 1, trial = 7, reward = 2.0
alpha = 0.75, gamma = 1, trial = 7, reward = -0.5
alpha = 0.75, gamma = 1, trial = 7, reward = -0.5
alpha = 0.75, gamma = 1, trial = 7, reward = 2.0
alpha = 0.75, gamma = 1, trial = 7, reward = -1.0
alpha = 0.75, gamma = 1, trial = 7, reward = -1.0
alpha = 0.75, gamma = 1, trial = 7, reward = -0.5
alpha = 0.75, gamma = 1, trial = 7, reward = -0.5
alpha = 0.75, gamma = 1, trial = 7, reward = -0.5
alpha = 0.75, gamma = 1, trial = 7, reward = -1.0
alpha = 0.75, gamma = 1, trial = 7, reward = -0.5
alpha = 0.75, gamma = 1, trial = 7, reward = 0.0
alpha = 0.75, gamma = 1, trial = 7, reward = 2.0
alpha = 0.75, gamma = 1, trial = 7, reward = 0.0
alpha = 0.75, gamma = 1, trial = 7, reward = -0.5
alpha = 0.75, gamma = 1, trial = 7, reward = -1.0
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 7, reward = 0.0
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = 0.0
alpha = 0.75, gamma = 1, trial = 8, reward = 0.0
alpha = 0.75, gamma = 1, trial = 8, reward = -1.0
alpha = 0.75, gamma = 1, trial = 8, reward = -1.0
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = -1.0
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = -1.0
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = 0.0
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = 0.0
alpha = 0.75, gamma = 1, trial = 8, reward = -1.0
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = 0.0
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = 0.0
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = 2.0
alpha = 0.75, gamma = 1, trial = 8, reward = 0.0
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 8, reward = 0.0
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
Primary agent ran out of time! Trial aborted.
alpha = 0.75, gamma = 1, trial = 8, reward = -0.5
alpha = 0.75, gamma = 1, trial = 9, reward = -0.5
alpha = 0.75, gamma = 1, trial = 9, reward = -0.5
alpha = 0.75, gamma = 1, trial = 9, reward = 0.0
alpha = 0.75, gamma = 1, trial = 9, reward = 0.0
alpha = 0.75, gamma = 1, trial = 9, reward = -0.5
alpha = 0.75, gamma = 1, trial = 9, reward = 0.0
alpha = 0.75, gamma = 1, trial = 9, reward = -0.5
alpha = 0.75, gamma = 1, trial = 9, reward = -0.5
alpha = 0.75, gamma = 1, trial = 9, reward = 0.0
alpha = 0.75, gamma = 1, trial = 9, reward = 0.0
